,word,previous_word,next_word,artist,song_type,song,aae_feature,time,social_group
6967,I,, feel,cannedheat,cover,catfish_blues,ai monophthongization,1960s,nonAA_US
21235,and,long , I,garyclarkjr,original,when_my_train_pulls_in,post-consonantal d,2010s,AA
4582,talking,yea , about,rollingstones,original,midnight_rambler,ing ultimas,1960s,nonAA_nonUS
12671,I,,'m,robertcray,cover,dont_touch_me,ai monophthongization,1980s,AA
28442,loving,t , you,mattschofield,original,dont_know_what_id_do,ing ultimas,2010s,nonAA_US
13706,time ,,,ericclapton,original,the_shape_youre_in,ai monophthongization,1980s,nonAA_nonUS
10048,for,just , yesterday,albertcollins,original,master_charge,post-vocalic r,1980s,AA
10296,I,pitiful , don,albertcollins,original,too_many,ai monophthongization,1980s,AA
5405,I,,'m,savoybrown,original,im_tired,ai monophthongization,1960s,nonAA_nonUS
20715,I,, said,ericgales,original,south_paw_serenade,ai monophthongization,2010s,AA
27949,is,string , crazy,joebonamassa,original,lonesome_road_blues,zero copula,2010s,nonAA_US
22972,I,yes , have,shemekiacopeland,cover,i_feel_a_sin_coming_on,ai monophthongization,2010s,AA
20174,my,love , baby,stevierayvaughan,original,pride_and_joy,ai monophthongization,1980s,nonAA_US
12871,can't,I , find,robertcray,original,phone_booth,post-consonantal t,1980s,AA
